@RELATION sound

@ATTRIBUTE mfcc NUMERIC
@ATTRIBUTE class {classical, jazz, hiphop, rock}


@DATA
-1.5117548091366464,classical
-1.9249055066642395,classical
-1.204588383471291,classical
-1.6599068695274002,classical
-1.8635572795319655,classical
-1.5132397901753551,classical
-1.5411106465889601,classical
-1.5262636296631225,classical
-1.6409483117796193,classical
-1.7894083273257033,classical
-1.8764723048981908,classical
-1.9619911637521703,classical
-1.9783531752777723,classical
-1.9748697390734131,classical
-2.10835893941279,classical
-2.4385809422365474,classical
-2.879942478225194,classical
-2.0488968174493745,classical
-2.094194741990879,classical
-2.626933576694836,classical
-1.6551257307011549,classical
-1.9048006236704162,classical
-1.4869612066632472,classical
-2.065143056773496,classical
-1.1396091612150592,classical
-1.148946057423762,classical
-2.125324200959893,classical
-1.9291487073737164,classical
-1.3159937823196843,classical
-1.8083995564824258,classical
-2.4003433760177164,classical
-2.0558433289119313,classical
-2.9017562693055554,classical
-2.87041768472241,classical
-1.9128263497326923,classical
-1.7027411447992924,classical
-2.940396999983551,classical
-2.1093585976285216,classical
-2.030853558578019,classical
-2.704864435832048,classical
-2.6363770358752316,classical
-2.7063687548609474,classical
-1.1186466254868006,classical
-1.5409138671254117,classical
-2.640974894739907,classical
-1.030868454494898,classical
-0.4822406423166585,classical
-3.0019180115024966,classical
-0.35860199550035754,classical
-0.5650418357440132,classical
-2.5700727112781503,classical
-0.7409516440906565,classical
-1.352584559361408,classical
-0.29869242393550777,classical
-0.2313474075045079,classical
-3.207470775064372,classical
-0.00810401312751022,classical
-2.5683541876152485,classical
-1.6615622775659484,classical
-1.1762264946199694,classical
-1.1488922036565652,classical
-1.338788922782088,classical
-1.706357638221005,classical
-2.3752902304226975,classical
-2.7947138928672612,classical
-2.694186705274276,classical
-2.4531437521340127,classical
-2.5088542028034473,classical
-1.5675269843370236,classical
-1.7935877126904614,classical
-1.9007985024529073,classical
-1.6640481916265886,classical
-1.8195073294972608,classical
-1.7549965425872063,classical
-1.730791627035835,classical
-2.1893283142411324,classical
-1.2934974016933012,classical
-3.3188570250263885,classical
-3.3980490731282647,classical
-3.0731169079227914,classical
-2.8480638940740217,classical
-2.2664794478080905,classical
-2.382060027460884,classical
-2.1336103986462343,classical
-2.6050509823535464,classical
-1.9214619304516911,classical
-1.8066649165672108,classical
-2.5051178949658226,classical
-2.0808072028752442,classical
-1.789276420702816,classical
-2.0162489699343733,classical
-1.4424093756592105,classical
-1.4665799032139328,classical
-1.3612825074270016,classical
-1.927623969385753,classical
-2.361486356154209,classical
-1.0739107498690665,classical
-1.6517678647818517,classical
-1.873174675708075,classical
-1.9130078410116385,classical
-0.5395229331445719,hiphop
0.8213211506995738,hiphop
-0.5229207948970631,hiphop
0.5080784176397379,hiphop
-0.04039739682348731,hiphop
0.674770370065884,hiphop
0.34910725986129854,hiphop
0.42835230934847274,hiphop
-0.6482003940457393,hiphop
0.2719302162827166,hiphop
0.03308060651981211,hiphop
0.141361681284728,hiphop
0.34569107438874686,hiphop
-0.5045909703334643,hiphop
0.11420466208961576,hiphop
-0.09802458414301637,hiphop
0.0909137549457221,hiphop
0.2982376549495965,hiphop
-0.37247199015708177,hiphop
0.19601216712577302,hiphop
0.14141246816589767,hiphop
0.332868637752631,hiphop
0.06908326010938168,hiphop
0.26684284114025353,hiphop
-0.21447469377557601,hiphop
0.45808922657572904,hiphop
-0.07958225361883862,hiphop
-0.21585130464225954,hiphop
-0.010629303210642226,hiphop
0.12439348498582775,hiphop
0.5506144888560414,hiphop
0.3416419683723063,hiphop
-0.014118038879186296,hiphop
0.4670108623405085,hiphop
0.5268317024901923,hiphop
0.21875087342156618,hiphop
-0.9556975803835497,hiphop
-1.1273018081121648,hiphop
-0.2536916702181642,hiphop
-0.3028785788690851,hiphop
-0.5289125650958595,hiphop
0.08220519304364429,hiphop
0.6911572708163862,hiphop
